hotel,data,disponibilidade,minimo_de_noites
7,1/10/2017,1,1
7,2/10/2017,0,1
7,3/10/2017,1,1
7,4/10/2017,1,1
7,5/10/2017,1,1
7,6/10/2017,0,1
7,7/10/2017,1,1
7,8/10/2017,0,1
7,9/10/2017,0,1
7,10/10/2017,1,1
7,11/10/2017,1,1
7,12/10/2017,0,1
7,13/10/2017,0,1
7,14/10/2017,1,1
7,15/10/2017,1,1
7,16/10/2017,1,1
7,17/10/2017,0,1
7,18/10/2017,0,1
7,19/10/2017,1,1
7,20/10/2017,1,1
7,21/10/2017,1,1
7,22/10/2017,1,1
7,23/10/2017,1,1
7,24/10/2017,1,1
7,25/10/2017,1,1
7,26/10/2017,1,1
7,27/10/2017,1,1
7,28/10/2017,0,1
7,29/10/2017,1,3
7,30/10/2017,1,1
8,1/10/2017,0,1
8,2/10/2017,1,1
8,3/10/2017,1,1
8,4/10/2017,1,1
8,5/10/2017,0,1
8,6/10/2017,1,1
8,7/10/2017,0,1
8,8/10/2017,1,1
8,9/10/2017,0,1
8,10/10/2017,0,1
8,11/10/2017,0,1
8,12/10/2017,1,1
8,13/10/2017,1,1
8,14/10/2017,1,1
8,15/10/2017,1,1
8,16/10/2017,1,1
8,17/10/2017,1,1
8,18/10/2017,0,1
8,19/10/2017,1,1
8,20/10/2017,1,1
8,21/10/2017,1,1
8,22/10/2017,1,1
8,23/10/2017,1,1
8,24/10/2017,0,2
8,25/10/2017,1,1
8,26/10/2017,1,1
8,27/10/2017,0,1
8,28/10/2017,0,1
8,29/10/2017,0,1
8,30/10/2017,1,1
9,1/10/2017,1,1
9,2/10/2017,0,1
9,3/10/2017,0,1
9,4/10/2017,1,1
9,5/10/2017,1,1
9,6/10/2017,1,1
9,7/10/2017,1,1
9,8/10/2017,0,1
9,9/10/2017,1,1
9,10/10/2017,1,1
9,11/10/2017,1,1
9,12/10/2017,0,1
9,13/10/2017,1,1
9,14/10/2017,0,1
9,15/10/2017,0,3
9,16/10/2017,0,1
9,17/10/2017,1,1
9,18/10/2017,0,1
9,19/10/2017,1,1
9,20/10/2017,0,1
9,21/10/2017,0,1
9,22/10/2017,0,1
9,23/10/2017,0,1
9,24/10/2017,0,2
9,25/10/2017,0,1
9,26/10/2017,0,1
9,27/10/2017,0,1
9,28/10/2017,1,1
9,29/10/2017,1,3
9,30/10/2017,1,1
10,1/10/2017,1,1
10,2/10/2017,0,1
10,3/10/2017,0,1
10,4/10/2017,1,1
10,5/10/2017,1,1
10,6/10/2017,0,1
10,7/10/2017,1,1
10,8/10/2017,1,1
10,9/10/2017,1,1
10,10/10/2017,1,1
10,11/10/2017,0,1
10,12/10/2017,1,1
10,13/10/2017,0,1
10,14/10/2017,0,1
10,15/10/2017,1,1
10,16/10/2017,0,1
10,17/10/2017,0,1
10,18/10/2017,1,1
10,19/10/2017,0,1
10,20/10/2017,0,1
10,21/10/2017,0,1
10,22/10/2017,1,1
10,23/10/2017,1,1
10,24/10/2017,1,1
10,25/10/2017,0,1
10,26/10/2017,1,1
10,27/10/2017,0,1
10,28/10/2017,0,1
10,29/10/2017,1,3
10,30/10/2017,1,1
11,1/10/2017,0,1
11,2/10/2017,0,1
11,3/10/2017,0,1
11,4/10/2017,1,1
11,5/10/2017,0,1
11,6/10/2017,0,1
11,7/10/2017,0,1
11,8/10/2017,1,1
11,9/10/2017,1,1
11,10/10/2017,0,1
11,11/10/2017,1,1
11,12/10/2017,1,1
11,13/10/2017,1,1
11,14/10/2017,0,1
11,15/10/2017,1,1
11,16/10/2017,0,1
11,17/10/2017,1,1
11,18/10/2017,1,1
11,19/10/2017,0,1
11,20/10/2017,0,1
11,21/10/2017,1,1
11,22/10/2017,0,1
11,23/10/2017,0,1
11,24/10/2017,0,2
11,25/10/2017,1,1
11,26/10/2017,1,1
11,27/10/2017,0,1
11,28/10/2017,1,1
11,29/10/2017,0,1
11,30/10/2017,1,1
12,1/10/2017,0,1
12,2/10/2017,0,1
12,3/10/2017,0,1
12,4/10/2017,1,1
12,5/10/2017,1,1
12,6/10/2017,0,1
12,7/10/2017,0,1
12,8/10/2017,1,1
12,9/10/2017,0,1
12,10/10/2017,1,1
12,11/10/2017,1,1
12,12/10/2017,1,1
12,13/10/2017,0,1
12,14/10/2017,0,1
12,15/10/2017,0,3
12,16/10/2017,1,1
12,17/10/2017,0,1
12,18/10/2017,0,1
12,19/10/2017,1,1
12,20/10/2017,0,1
12,21/10/2017,0,1
12,22/10/2017,1,1
12,23/10/2017,1,1
12,24/10/2017,1,1
12,25/10/2017,1,1
12,26/10/2017,0,1
12,27/10/2017,1,1
12,28/10/2017,1,1
12,29/10/2017,1,3
12,30/10/2017,0,1
13,1/10/2017,0,1
13,2/10/2017,1,1
13,3/10/2017,0,1
13,4/10/2017,1,1
13,5/10/2017,0,1
13,6/10/2017,0,1
13,7/10/2017,0,1
13,8/10/2017,0,1
13,9/10/2017,1,1
13,10/10/2017,1,1
13,11/10/2017,1,1
13,12/10/2017,0,1
13,13/10/2017,0,1
13,14/10/2017,1,1
13,15/10/2017,1,1
13,16/10/2017,0,1
13,17/10/2017,1,1
13,18/10/2017,1,1
13,19/10/2017,0,1
13,20/10/2017,1,1
13,21/10/2017,0,1
13,22/10/2017,1,1
13,23/10/2017,0,1
13,24/10/2017,0,2
13,25/10/2017,0,1
13,26/10/2017,1,1
13,27/10/2017,0,1
13,28/10/2017,1,1
13,29/10/2017,0,1
13,30/10/2017,0,1
14,1/10/2017,1,1
14,2/10/2017,0,1
14,3/10/2017,1,1
14,4/10/2017,0,1
14,5/10/2017,1,1
14,6/10/2017,0,1
14,7/10/2017,0,1
14,8/10/2017,1,1
14,9/10/2017,1,1
14,10/10/2017,0,1
14,11/10/2017,1,1
14,12/10/2017,1,1
14,13/10/2017,1,1
14,14/10/2017,0,1
14,15/10/2017,0,3
14,16/10/2017,0,1
14,17/10/2017,0,1
14,18/10/2017,1,1
14,19/10/2017,0,1
14,20/10/2017,1,1
14,21/10/2017,1,1
14,22/10/2017,1,1
14,23/10/2017,1,1
14,24/10/2017,0,2
14,25/10/2017,0,1
14,26/10/2017,0,1
14,27/10/2017,1,1
14,28/10/2017,1,1
14,29/10/2017,1,3
14,30/10/2017,1,1
15,1/10/2017,0,1
15,2/10/2017,0,1
15,3/10/2017,1,1
15,4/10/2017,1,1
15,5/10/2017,1,1
15,6/10/2017,1,1
15,7/10/2017,1,1
15,8/10/2017,1,1
15,9/10/2017,0,1
15,10/10/2017,1,1
15,11/10/2017,0,1
15,12/10/2017,1,1
15,13/10/2017,1,1
15,14/10/2017,1,1
15,15/10/2017,0,3
15,16/10/2017,0,1
15,17/10/2017,1,1
15,18/10/2017,0,1
15,19/10/2017,1,1
15,20/10/2017,1,1
15,21/10/2017,0,1
15,22/10/2017,1,1
15,23/10/2017,0,1
15,24/10/2017,0,2
15,25/10/2017,1,1
15,26/10/2017,1,1
15,27/10/2017,1,1
15,28/10/2017,1,1
15,29/10/2017,1,3
15,30/10/2017,0,1
16,1/10/2017,1,1
16,2/10/2017,0,1
16,3/10/2017,0,1
16,4/10/2017,0,1
16,5/10/2017,0,1
16,6/10/2017,1,1
16,7/10/2017,1,1
16,8/10/2017,0,1
16,9/10/2017,1,1
16,10/10/2017,0,1
16,11/10/2017,1,1
16,12/10/2017,0,1
16,13/10/2017,0,1
16,14/10/2017,0,1
16,15/10/2017,0,3
16,16/10/2017,0,1
16,17/10/2017,0,1
16,18/10/2017,0,1
16,19/10/2017,0,1
16,20/10/2017,1,1
16,21/10/2017,0,1
16,22/10/2017,0,1
16,23/10/2017,0,1
16,24/10/2017,1,1
16,25/10/2017,0,1
16,26/10/2017,0,1
16,27/10/2017,0,1
16,28/10/2017,0,1
16,29/10/2017,1,3
16,30/10/2017,1,1
17,1/10/2017,0,1
17,2/10/2017,1,1
17,3/10/2017,0,1
17,4/10/2017,1,1
17,5/10/2017,1,1
17,6/10/2017,1,1
17,7/10/2017,1,1
17,8/10/2017,0,1
17,9/10/2017,1,1
17,10/10/2017,0,1
17,11/10/2017,0,1
17,12/10/2017,1,1
17,13/10/2017,0,1
17,14/10/2017,0,1
17,15/10/2017,0,3
17,16/10/2017,0,1
17,17/10/2017,0,1
17,18/10/2017,0,1
17,19/10/2017,0,1
17,20/10/2017,1,1
17,21/10/2017,0,1
17,22/10/2017,1,1
17,23/10/2017,1,1
17,24/10/2017,0,2
17,25/10/2017,1,1
17,26/10/2017,0,1
17,27/10/2017,0,1
17,28/10/2017,0,1
17,29/10/2017,1,3
17,30/10/2017,1,1
18,1/10/2017,1,1
18,2/10/2017,0,1
18,3/10/2017,1,1
18,4/10/2017,0,1
18,5/10/2017,1,1
18,6/10/2017,1,1
18,7/10/2017,1,1
18,8/10/2017,1,1
18,9/10/2017,0,1
18,10/10/2017,1,1
18,11/10/2017,1,1
18,12/10/2017,1,1
18,13/10/2017,0,1
18,14/10/2017,0,1
18,15/10/2017,1,1
18,16/10/2017,0,1
18,17/10/2017,1,1
18,18/10/2017,0,1
18,19/10/2017,0,1
18,20/10/2017,0,1
18,21/10/2017,1,1
18,22/10/2017,1,1
18,23/10/2017,0,1
18,24/10/2017,0,2
18,25/10/2017,0,1
18,26/10/2017,0,1
18,27/10/2017,1,1
18,28/10/2017,0,1
18,29/10/2017,0,1
18,30/10/2017,1,1
19,1/10/2017,1,1
19,2/10/2017,1,1
19,3/10/2017,0,1
19,4/10/2017,1,1
19,5/10/2017,0,1
19,6/10/2017,1,1
19,7/10/2017,1,1
19,8/10/2017,0,1
19,9/10/2017,0,1
19,10/10/2017,0,1
19,11/10/2017,1,1
19,12/10/2017,0,1
19,13/10/2017,0,1
19,14/10/2017,1,1
19,15/10/2017,0,3
19,16/10/2017,0,1
19,17/10/2017,1,1
19,18/10/2017,0,1
19,19/10/2017,1,1
19,20/10/2017,0,1
19,21/10/2017,0,1
19,22/10/2017,1,1
19,23/10/2017,1,1
19,24/10/2017,0,2
19,25/10/2017,0,1
19,26/10/2017,1,1
19,27/10/2017,0,1
19,28/10/2017,1,1
19,29/10/2017,0,1
19,30/10/2017,0,1
20,1/10/2017,0,1
20,2/10/2017,1,1
20,3/10/2017,0,1
20,4/10/2017,0,1
20,5/10/2017,0,1
20,6/10/2017,1,1
20,7/10/2017,0,1
20,8/10/2017,0,1
20,9/10/2017,0,1
20,10/10/2017,1,1
20,11/10/2017,0,1
20,12/10/2017,1,1
20,13/10/2017,1,1
20,14/10/2017,0,1
20,15/10/2017,1,1
20,16/10/2017,1,1
20,17/10/2017,1,1
20,18/10/2017,1,1
20,19/10/2017,0,1
20,20/10/2017,0,1
20,21/10/2017,0,1
20,22/10/2017,0,1
20,23/10/2017,0,1
20,24/10/2017,1,1
20,25/10/2017,1,1
20,26/10/2017,0,1
20,27/10/2017,0,1
20,28/10/2017,1,1
20,29/10/2017,1,3
20,30/10/2017,0,1
21,1/10/2017,1,1
21,2/10/2017,1,1
21,3/10/2017,0,1
21,4/10/2017,1,1
21,5/10/2017,1,1
21,6/10/2017,0,1
21,7/10/2017,1,1
21,8/10/2017,0,1
21,9/10/2017,1,1
21,10/10/2017,1,1
21,11/10/2017,0,1
21,12/10/2017,1,1
21,13/10/2017,0,1
21,14/10/2017,0,1
21,15/10/2017,1,1
21,16/10/2017,1,1
21,17/10/2017,1,1
21,18/10/2017,0,1
21,19/10/2017,0,1
21,20/10/2017,0,1
21,21/10/2017,0,1
21,22/10/2017,0,1
21,23/10/2017,0,1
21,24/10/2017,0,2
21,25/10/2017,0,1
21,26/10/2017,1,1
21,27/10/2017,0,1
21,28/10/2017,1,1
21,29/10/2017,0,1
21,30/10/2017,0,1
22,1/10/2017,0,1
22,2/10/2017,1,1
22,3/10/2017,0,1
22,4/10/2017,0,1
22,5/10/2017,1,1
22,6/10/2017,0,1
22,7/10/2017,0,1
22,8/10/2017,0,1
22,9/10/2017,1,1
22,10/10/2017,0,1
22,11/10/2017,0,1
22,12/10/2017,0,1
22,13/10/2017,1,1
22,14/10/2017,0,1
22,15/10/2017,0,3
22,16/10/2017,1,1
22,17/10/2017,1,1
22,18/10/2017,1,1
22,19/10/2017,0,1
22,20/10/2017,0,1
22,21/10/2017,1,1
22,22/10/2017,0,1
22,23/10/2017,0,1
22,24/10/2017,0,2
22,25/10/2017,0,1
22,26/10/2017,1,1
22,27/10/2017,1,1
22,28/10/2017,0,1
22,29/10/2017,0,1
22,30/10/2017,1,1
23,1/10/2017,1,1
23,2/10/2017,0,1
23,3/10/2017,1,1
23,4/10/2017,1,1
23,5/10/2017,1,1
23,6/10/2017,1,1
23,7/10/2017,0,1
23,8/10/2017,1,1
23,9/10/2017,0,1
23,10/10/2017,1,1
23,11/10/2017,0,1
23,12/10/2017,0,1
23,13/10/2017,1,1
23,14/10/2017,1,1
23,15/10/2017,0,3
23,16/10/2017,1,1
23,17/10/2017,0,1
23,18/10/2017,1,1
23,19/10/2017,1,1
23,20/10/2017,0,1
23,21/10/2017,1,1
23,22/10/2017,1,1
23,23/10/2017,1,1
23,24/10/2017,1,1
23,25/10/2017,1,1
23,26/10/2017,1,1
23,27/10/2017,1,1
23,28/10/2017,0,1
23,29/10/2017,1,3
23,30/10/2017,1,1
24,1/10/2017,1,1
24,2/10/2017,0,1
24,3/10/2017,1,1
24,4/10/2017,1,1
24,5/10/2017,0,1
24,6/10/2017,1,1
24,7/10/2017,1,1
24,8/10/2017,1,1
24,9/10/2017,1,1
24,10/10/2017,1,1
24,11/10/2017,1,1
24,12/10/2017,1,1
24,13/10/2017,0,1
24,14/10/2017,0,1
24,15/10/2017,0,3
24,16/10/2017,1,1
24,17/10/2017,1,1
24,18/10/2017,0,1
24,19/10/2017,0,1
24,20/10/2017,1,1
24,21/10/2017,1,1
24,22/10/2017,0,1
24,23/10/2017,0,1
24,24/10/2017,0,2
24,25/10/2017,1,1
24,26/10/2017,0,1
24,27/10/2017,0,1
24,28/10/2017,0,1
24,29/10/2017,1,3
24,30/10/2017,0,1
25,1/10/2017,1,1
25,2/10/2017,1,1
25,3/10/2017,0,1
25,4/10/2017,0,1
25,5/10/2017,1,1
25,6/10/2017,0,1
25,7/10/2017,1,1
25,8/10/2017,1,1
25,9/10/2017,1,1
25,10/10/2017,0,1
25,11/10/2017,1,1
25,12/10/2017,1,1
25,13/10/2017,1,1
25,14/10/2017,1,1
25,15/10/2017,0,3
25,16/10/2017,0,1
25,17/10/2017,0,1
25,18/10/2017,1,1
25,19/10/2017,0,1
25,20/10/2017,1,1
25,21/10/2017,1,1
25,22/10/2017,1,1
25,23/10/2017,0,1
25,24/10/2017,1,1
25,25/10/2017,0,1
25,26/10/2017,0,1
25,27/10/2017,1,1
25,28/10/2017,1,1
25,29/10/2017,0,1
25,30/10/2017,1,1
26,1/10/2017,0,1
26,2/10/2017,0,1
26,3/10/2017,1,1
26,4/10/2017,1,1
26,5/10/2017,1,1
26,6/10/2017,0,1
26,7/10/2017,1,1
26,8/10/2017,1,1
26,9/10/2017,0,1
26,10/10/2017,1,1
26,11/10/2017,1,1
26,12/10/2017,1,1
26,13/10/2017,1,1
26,14/10/2017,0,1
26,15/10/2017,1,1
26,16/10/2017,0,1
26,17/10/2017,1,1
26,18/10/2017,0,1
26,19/10/2017,0,1
26,20/10/2017,1,1
26,21/10/2017,0,1
26,22/10/2017,1,1
26,23/10/2017,1,1
26,24/10/2017,0,2
26,25/10/2017,0,1
26,26/10/2017,0,1
26,27/10/2017,1,1
26,28/10/2017,0,1
26,29/10/2017,0,1
26,30/10/2017,1,1
27,1/10/2017,1,1
27,2/10/2017,0,1
27,3/10/2017,1,1
27,4/10/2017,1,1
27,5/10/2017,0,1
27,6/10/2017,0,1
27,7/10/2017,1,1
27,8/10/2017,1,1
27,9/10/2017,0,1
27,10/10/2017,0,1
27,11/10/2017,0,1
27,12/10/2017,1,1
27,13/10/2017,1,1
27,14/10/2017,0,1
27,15/10/2017,1,1
27,16/10/2017,1,1
27,17/10/2017,1,1
27,18/10/2017,0,1
27,19/10/2017,0,1
27,20/10/2017,0,1
27,21/10/2017,1,1
27,22/10/2017,1,1
27,23/10/2017,0,1
27,24/10/2017,0,2
27,25/10/2017,0,1
27,26/10/2017,1,1
27,27/10/2017,1,1
27,28/10/2017,1,1
27,29/10/2017,1,3
27,30/10/2017,0,1
28,1/10/2017,0,1
28,2/10/2017,0,1
28,3/10/2017,0,1
28,4/10/2017,0,1
28,5/10/2017,1,1
28,6/10/2017,0,1
28,7/10/2017,1,1
28,8/10/2017,0,1
28,9/10/2017,0,1
28,10/10/2017,1,1
28,11/10/2017,1,1
28,12/10/2017,1,1
28,13/10/2017,1,1
28,14/10/2017,0,1
28,15/10/2017,0,3
28,16/10/2017,0,1
28,17/10/2017,1,1
28,18/10/2017,0,1
28,19/10/2017,0,1
28,20/10/2017,1,1
28,21/10/2017,1,1
28,22/10/2017,1,1
28,23/10/2017,1,1
28,24/10/2017,0,2
28,25/10/2017,1,1
28,26/10/2017,0,1
28,27/10/2017,1,1
28,28/10/2017,1,1
28,29/10/2017,1,3
28,30/10/2017,0,1
29,1/10/2017,1,1
29,2/10/2017,0,1
29,3/10/2017,0,1
29,4/10/2017,1,1
29,5/10/2017,1,1
29,6/10/2017,1,1
29,7/10/2017,0,1
29,8/10/2017,1,1
29,9/10/2017,0,1
29,10/10/2017,1,1
29,11/10/2017,0,1
29,12/10/2017,1,1
29,13/10/2017,1,1
29,14/10/2017,0,1
29,15/10/2017,1,1
29,16/10/2017,0,1
29,17/10/2017,1,1
29,18/10/2017,0,1
29,19/10/2017,0,1
29,20/10/2017,1,1
29,21/10/2017,0,1
29,22/10/2017,1,1
29,23/10/2017,0,1
29,24/10/2017,0,2
29,25/10/2017,0,1
29,26/10/2017,0,1
29,27/10/2017,1,1
29,28/10/2017,1,1
29,29/10/2017,0,1
29,30/10/2017,1,1
30,1/10/2017,1,1
30,2/10/2017,0,1
30,3/10/2017,0,1
30,4/10/2017,0,1
30,5/10/2017,0,1
30,6/10/2017,1,1
30,7/10/2017,0,1
30,8/10/2017,0,1
30,9/10/2017,1,1
30,10/10/2017,0,1
30,11/10/2017,0,1
30,12/10/2017,1,1
30,13/10/2017,1,1
30,14/10/2017,0,1
30,15/10/2017,1,1
30,16/10/2017,1,1
30,17/10/2017,1,1
30,18/10/2017,0,1
30,19/10/2017,1,1
30,20/10/2017,0,1
30,21/10/2017,0,1
30,22/10/2017,1,1
30,23/10/2017,1,1
30,24/10/2017,0,2
30,25/10/2017,0,1
30,26/10/2017,0,1
30,27/10/2017,0,1
30,28/10/2017,0,1
30,29/10/2017,0,1
30,30/10/2017,1,1
31,1/10/2017,0,1
31,2/10/2017,0,1
31,3/10/2017,1,1
31,4/10/2017,1,1
31,5/10/2017,1,1
31,6/10/2017,0,1
31,7/10/2017,0,1
31,8/10/2017,0,1
31,9/10/2017,1,1
31,10/10/2017,1,1
31,11/10/2017,0,1
31,12/10/2017,1,1
31,13/10/2017,1,1
31,14/10/2017,0,1
31,15/10/2017,0,3
31,16/10/2017,0,1
31,17/10/2017,0,1
31,18/10/2017,0,1
31,19/10/2017,0,1
31,20/10/2017,1,1
31,21/10/2017,1,1
31,22/10/2017,0,1
31,23/10/2017,1,1
31,24/10/2017,0,2
31,25/10/2017,1,1
31,26/10/2017,1,1
31,27/10/2017,1,1
31,28/10/2017,1,1
31,29/10/2017,1,3
31,30/10/2017,0,1
32,1/10/2017,1,1
32,2/10/2017,0,1
32,3/10/2017,1,1
32,4/10/2017,1,1
32,5/10/2017,1,1
32,6/10/2017,0,1
32,7/10/2017,0,1
32,8/10/2017,1,1
32,9/10/2017,1,1
32,10/10/2017,1,1
32,11/10/2017,0,1
32,12/10/2017,1,1
32,13/10/2017,0,1
32,14/10/2017,0,1
32,15/10/2017,1,1
32,16/10/2017,1,1
32,17/10/2017,1,1
32,18/10/2017,0,1
32,19/10/2017,1,1
32,20/10/2017,1,1
32,21/10/2017,0,1
32,22/10/2017,1,1
32,23/10/2017,0,1
32,24/10/2017,0,2
32,25/10/2017,0,1
32,26/10/2017,0,1
32,27/10/2017,0,1
32,28/10/2017,1,1
32,29/10/2017,1,3
32,30/10/2017,0,1
33,1/10/2017,1,1
33,2/10/2017,1,1
33,3/10/2017,0,1
33,4/10/2017,0,1
33,5/10/2017,0,1
33,6/10/2017,0,1
33,7/10/2017,0,1
33,8/10/2017,0,1
33,9/10/2017,0,1
33,10/10/2017,0,1
33,11/10/2017,0,1
33,12/10/2017,0,1
33,13/10/2017,1,1
33,14/10/2017,0,1
33,15/10/2017,0,3
33,16/10/2017,1,1
33,17/10/2017,0,1
33,18/10/2017,1,1
33,19/10/2017,1,1
33,20/10/2017,0,1
33,21/10/2017,0,1
33,22/10/2017,1,1
33,23/10/2017,0,1
33,24/10/2017,1,1
33,25/10/2017,0,1
33,26/10/2017,1,1
33,27/10/2017,0,1
33,28/10/2017,0,1
33,29/10/2017,0,1
33,30/10/2017,1,1
34,1/10/2017,0,1
34,2/10/2017,1,1
34,3/10/2017,0,1
34,4/10/2017,1,1
34,5/10/2017,1,1
34,6/10/2017,0,1
34,7/10/2017,0,1
34,8/10/2017,1,1
34,9/10/2017,0,1
34,10/10/2017,0,1
34,11/10/2017,0,1
34,12/10/2017,0,1
34,13/10/2017,0,1
34,14/10/2017,0,1
34,15/10/2017,1,1
34,16/10/2017,0,1
34,17/10/2017,0,1
34,18/10/2017,1,1
34,19/10/2017,1,1
34,20/10/2017,0,1
34,21/10/2017,0,1
34,22/10/2017,0,1
34,23/10/2017,1,1
34,24/10/2017,1,1
34,25/10/2017,1,1
34,26/10/2017,1,1
34,27/10/2017,1,1
34,28/10/2017,1,1
34,29/10/2017,1,3
34,30/10/2017,1,1
35,1/10/2017,1,1
35,2/10/2017,1,1
35,3/10/2017,0,1
35,4/10/2017,0,1
35,5/10/2017,1,1
35,6/10/2017,0,1
35,7/10/2017,0,1
35,8/10/2017,1,1
35,9/10/2017,1,1
35,10/10/2017,0,1
35,11/10/2017,0,1
35,12/10/2017,0,1
35,13/10/2017,0,1
35,14/10/2017,0,1
35,15/10/2017,0,3
35,16/10/2017,0,1
35,17/10/2017,1,1
35,18/10/2017,0,1
35,19/10/2017,1,1
35,20/10/2017,1,1
35,21/10/2017,1,1
35,22/10/2017,0,1
35,23/10/2017,0,1
35,24/10/2017,1,1
35,25/10/2017,1,1
35,26/10/2017,1,1
35,27/10/2017,1,1
35,28/10/2017,0,1
35,29/10/2017,1,3
35,30/10/2017,1,1
36,1/10/2017,1,1
36,2/10/2017,0,1
36,3/10/2017,0,1
36,4/10/2017,1,1
36,5/10/2017,0,1
36,6/10/2017,1,1
36,7/10/2017,0,1
36,8/10/2017,1,1
36,9/10/2017,1,1
36,10/10/2017,0,1
36,11/10/2017,0,1
36,12/10/2017,0,1
36,13/10/2017,0,1
36,14/10/2017,0,1
36,15/10/2017,0,3
36,16/10/2017,0,1
36,17/10/2017,1,1
36,18/10/2017,1,1
36,19/10/2017,1,1
36,20/10/2017,1,1
36,21/10/2017,1,1
36,22/10/2017,0,1
36,23/10/2017,0,1
